3401	Sat Jul 30 16:58:49 +0000 2011	4a75d706f964a52066e11fe3	{Model Bakery}	{38.30144636666667,-122.281962,Napa,CA,United States}	{Food,}
3401	Sat Jul 16 01:06:33 +0000 2011	4e06a211ae60a90eabc4872f	{Kaori}	{33.8744,-117.925837,Fullerton,CA,United States}	{Food,}
3401	Sat Jun 25 02:59:02 +0000 2011	45428531f964a5205a3c1fe3	{Stadium Tavern}	{33.87245017,-117.92510841666666,Fullerton,CA,United States}	{Nightlife Spot,}
3401	Tue Jun 14 00:43:55 +0000 2011	4b4187bef964a5205cc725e3	{Ralphs}	{33.881131403309844,-117.925154759064,Fullerton,CA,United States}	{Shop & Service,Food & Drink Shop,}
3401	Sat Jun 04 05:05:02 +0000 2011	45428531f964a5205a3c1fe3	{Stadium Tavern}	{33.87245017,-117.92510841666666,Fullerton,CA,United States}	{Nightlife Spot,}
3401	Wed Jun 01 00:25:32 +0000 2011	4b5f8217f964a5207bbe29e3	{Anaheim Feed and Pet Supply}	{33.86009638403572,-117.91953664416967,Anaheim,CA,United States}	{Shop & Service,}
3401	Sun May 29 19:24:13 +0000 2011	4a2ec226f964a5204d981fe3	{The Beach Hut}	{33.90137467831149,-118.41805815696716,Manhattan Beach,CA,United States}	{Food,}
3401	Sun May 29 03:50:52 +0000 2011	49c1e377f964a520db551fe3	{MoKo}	{34.023031,-118.394543,Culver City,CA,United States}	{Nightlife Spot,Food,}
3401	Thu May 26 03:07:11 +0000 2011	4bb95cfa3db7b7137b45229a	{Stater Bros}	{33.873084,-117.942397,Fullerton,CA,United States}	{Shop & Service,Food & Drink Shop,}
3401	Sun May 22 23:06:19 +0000 2011	4b30454df964a52079f824e3	{Target}	{33.879198539199955,-117.96164274215698,Fullerton,CA,United States}	{Shop & Service,}
3401	Sun May 22 01:42:56 +0000 2011	4aa05973f964a520463f20e3	{Haven Gastropub}	{33.786278939134874,-117.85325467586517,Orange,CA,United States}	{Food,}
3401	Sat May 21 04:15:44 +0000 2011	45428531f964a5205a3c1fe3	{Stadium Tavern}	{33.87245017,-117.92510841666666,Fullerton,CA,United States}	{Nightlife Spot,}
3401	Thu May 12 00:58:03 +0000 2011	4b4187bef964a5205cc725e3	{Ralphs}	{33.881131403309844,-117.925154759064,Fullerton,CA,United States}	{Shop & Service,Food & Drink Shop,}
3401	Tue May 10 15:56:45 +0000 2011	4b293cbdf964a520749b24e3	{Alta Bates Summit Medical Center-Herrick Campus}	{37.8639860317896,-122.2688198650828,Berkeley,CA,United States}	{Medical Center,Professional & Other Places,}
3401	Wed May 04 23:26:44 +0000 2011	4b293cbdf964a520749b24e3	{Alta Bates Summit Medical Center-Herrick Campus}	{37.8639860317896,-122.2688198650828,Berkeley,CA,United States}	{Medical Center,Professional & Other Places,}
