459	Tue Nov 29 06:12:05 +0000 2011	4df6ca201495dd5ffb844431	{SuperShuttle}	{34.09823683395027,-118.35381090923735,Burbank,CA,United States}	{Travel & Transport,Bus Station,}
===
459	Thu Aug 11 19:01:16 +0000 2011	4e306404b0fbb3b111224a43	{Food Truck Lot - Bradley}	{34.166203595874336,-118.08832883834839,Pasadena,CA,United States}	{Food,}
459	Wed Aug 10 03:52:30 +0000 2011	4b4f9e7bf964a520db0d27e3	{SUBWAY}	{34.187416,-118.316683,Burbank,CA,United States}	{Food,}
459	Tue Aug 09 01:53:26 +0000 2011	4b831bdcf964a52032f830e3	{Carl's Jr. / Green Burrito}	{34.19012364910204,-118.32068457693184,Burbank,CA,United States}	{Food,}
459	Mon Aug 08 19:14:11 +0000 2011	4e306404b0fbb3b111224a43	{Food Truck Lot - Bradley}	{34.166203595874336,-118.08832883834839,Pasadena,CA,United States}	{Food,}
459	Mon Aug 08 03:18:47 +0000 2011	4d111b976360a35def0e8888	{Chop Stop}	{34.187068135353776,-118.31784193961174,Burbank,CA,United States}	{Food,}
459	Sun Aug 07 19:00:08 +0000 2011	4a481773f964a5208aaa1fe3	{Target}	{34.18983130775712,-118.33080053329468,Burbank,CA,United States}	{Shop & Service,Food & Drink Shop,}
459	Sun Aug 07 17:20:22 +0000 2011	4a4812baf964a52082aa1fe3	{Eat n Park}	{34.184786,-118.339143,Burbank,CA,United States}	{Food,}
459	Sat Aug 06 01:02:39 +0000 2011	4ab6d5a8f964a5203d7920e3	{Wendy's}	{34.19055620727967,-118.327759,Burbank,CA,United States}	{Food,}
459	Fri Aug 05 21:00:59 +0000 2011	4e306404b0fbb3b111224a43	{Food Truck Lot - Bradley}	{34.166203595874336,-118.08832883834839,Pasadena,CA,United States}	{Food,}
459	Thu Aug 04 19:23:53 +0000 2011	4bfeb9b74e5d0f47720e7d1f	{Super Burger}	{34.154305,-118.09856,Pasadena,CA,United States}	{Food,}
459	Thu Aug 04 01:19:55 +0000 2011	4a73c89cf964a52071dd1fe3	{UCLA Los Angeles Tennis Center}	{34.070329091207235,-118.44835638999939,Los Angeles,CA,United States}	{College & University,College Stadium,}
