1250	Fri Aug 12 01:04:01 +0000 2011	4e1f9cc5ae6015b212936e73	{BLVD Farmers' Market}	{34.69794309179833,-118.1413722038269,Lancaster,CA,United States}	{Shop & Service,Food & Drink Shop,}
1250	Fri Aug 12 01:01:27 +0000 2011	4bb64b90f562ef3bc1ee2f97	{Bank Of America}	{34.69749136666667,-118.14292548333333,Lancaster,CA,United States}	{Shop & Service,}
1250	Thu Aug 11 15:47:29 +0000 2011	4b917687f964a5205ebe33e3	{Costco Gas}	{34.66083211666667,-118.14914195,Lancaster,CA,United States}	{Shop & Service,}
1250	Thu Aug 11 15:19:23 +0000 2011	4e43f2f11f6e0a1ba5d6f908	{All Wayz Towing}	{34.653937,-118.114207,Lancaster,CA,United States}	{Shop & Service,}
1250	Thu Aug 11 00:28:16 +0000 2011	4c0bf1976a3bb713aaa972c7	{Costco}	{34.66143429175221,-118.15216541290283,Lancaster,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1250	Sun Aug 07 22:06:14 +0000 2011	4b046029f964a520b15322e3	{Mayflower Seafood Restaurant}	{34.05962786637538,-118.2381717024147,Los Angeles,CA,United States}	{Food,}
1250	Sun Aug 07 20:03:14 +0000 2011	4c0aa8fdffb8c9b6a0f96b61	{Seafood City}	{34.23500331420872,-118.48381519317627,North Hills,CA,United States}	{Shop & Service,Food & Drink Shop,}
1250	Sun Aug 07 18:10:38 +0000 2011	4b5c9b5df964a520893929e3	{Valencia Farmers Market}	{34.408361335254945,-118.57200622558594,Valencia,CA,United States}	{Shop & Service,Food,}
1250	Sun Aug 07 01:34:28 +0000 2011	4c6815001c91a593940def07	{Sacred Heart Catholic Church}	{34.70068841803456,-118.14069468202594,Lancaster,CA,United States}	{Spiritual Center,Professional & Other Places,}
1250	Fri Aug 05 22:12:13 +0000 2011	4dcc10f41838cc2cc65b48c3	{Los Angeles County High Desert Health System}	{34.57923773117301,-118.05765562241653,Palmdale,CA,United States}	{Medical Center,Professional & Other Places,}
1250	Thu Aug 04 22:38:05 +0000 2011	4ba193b5f964a520b1c137e3	{Vallarta}	{34.676316081536235,-118.1140480588215,Lancaster,CA,United States}	{Shop & Service,Food & Drink Shop,}
