2051	Fri Aug 12 03:41:14 +0000 2011	4cc88a21b3f5224b6f8fef20	{Yolo County}	{38.673261,-121.636741,West Sacramento,CA,United States}	{}
2051	Fri Aug 12 03:01:38 +0000 2011	4e02b5e6aeb79857657780f5	{Sacramento Regional Transit, Facilities Maintainence}	{38.60499938915828,-121.44517779350281,Sacramento,CA,United States}	{Professional & Other Places,}
2051	Fri Aug 12 02:48:27 +0000 2011	4b5be0cbf964a520411b29e3	{McDonald's}	{38.59669986440691,-121.50189550154549,Sacramento,CA,United States}	{Food,}
2051	Fri Aug 12 02:26:35 +0000 2011	4c1a698feac020a16e3a43c2	{Quik Stop}	{38.68929822443067,-121.77719016487893,Woodland,CA,United States}	{Shop & Service,}
2051	Fri Aug 12 00:20:14 +0000 2011	4df6d5f7ae60f0da8837b5f1	{The changing Station}	{38.688235,-121.777122,Woodland,CA,United States}	{Professional & Other Places,}
2051	Thu Aug 11 22:43:10 +0000 2011	4b63da8ef964a52065942ae3	{In-N-Out Burger}	{38.67034381583701,-121.72791460135237,Woodland,CA,United States}	{Food,}
2051	Thu Aug 11 19:36:48 +0000 2011	4de07cb47d8b84d5dc6e8549	{The Wash House}	{38.678407,-121.782751,Woodland,CA,United States}	{Shop & Service,}
2051	Thu Aug 11 17:27:27 +0000 2011	4b63da8ef964a52065942ae3	{In-N-Out Burger}	{38.67034381583701,-121.72791460135237,Woodland,CA,United States}	{Food,}
2051	Wed Aug 10 08:47:34 +0000 2011	4d2c8166774f76eb1f6e9533	{AMPM}	{38.675883,-121.728973,Woodland,CA,United States}	{Shop & Service,}
2051	Wed Aug 10 05:27:33 +0000 2011	4b63da8ef964a52065942ae3	{In-N-Out Burger}	{38.67034381583701,-121.72791460135237,Woodland,CA,United States}	{Food,}
2051	Wed Aug 10 03:08:37 +0000 2011	4de7a301d22dc38f1ee5804d	{Watson Manor}	{38.68817289879983,-121.77717089653014,Woodland,CA,United States}	{Arts & Entertainment,}
2051	Wed Aug 10 00:17:49 +0000 2011	4b63da8ef964a52065942ae3	{In-N-Out Burger}	{38.67034381583701,-121.72791460135237,Woodland,CA,United States}	{Food,}
2051	Tue Aug 09 20:34:36 +0000 2011	4e0fbf3cae603a50b54ff6fa	{Da Smoke Zone}	{38.68840738425937,-121.77724599838255,Woodland,CA,United States}	{Stadium,Arts & Entertainment,}
2051	Tue Aug 09 20:13:55 +0000 2011	4da374abb1c9370448ddfaa1	{Discount Cigarettes}	{38.67715895175934,-121.80070996284485,Woodland,CA,United States}	{Shop & Service,}
