2033	Sun Jul 22 19:28:18 +0000 2012	46cf28b9f964a520454a1fe3	{Hollywood & Highland Center}	{34.10232154528382,-118.33939969539642,Los Angeles,CA,United States}	{Shop & Service,Arts & Entertainment,}
2033	Sun Jul 22 19:25:36 +0000 2012	4a83ae72f964a5209ffb1fe3	{Hollywood Walk Of Fame}	{34.10153309727385,-118.33867281675339,Hollywood,CA,United States}	{Government Building,Arts & Entertainment,Professional & Other Places,}
===
2033	Thu Nov 17 23:27:56 +0000 2011	4c048ecb187ec9289b43b77b	{US-101 (Hollywood Freeway / Ventura Freeway)}	{34.155603592490245,-118.43600749969484,Southern California,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
===
2033	Fri Aug 12 12:23:14 +0000 2011	4dc64261d164eb9ca004b1b3	{My Hell}	{34.10011961244625,-118.34035055263331,Los Angeles,CA,United States}	{Residence,}
2033	Fri Aug 12 12:22:49 +0000 2011	4bea0a216295c9b6db0a8608	{Leland Way Circus}	{34.09675981,-118.33790193,Hollywood,CA,United States}	{Professional & Other Places,}
2033	Thu Aug 11 21:08:08 +0000 2011	4c0349e6f56c2d7f9cc31c66	{7-Eleven}	{34.146543848461775,-118.69839567187326,Calabasas,CA,United States}	{Shop & Service,}
2033	Thu Aug 11 06:02:28 +0000 2011	4b7eec40f964a520b20930e3	{Big Mama's and Papa's Pizzeria}	{34.10188131666666,-118.299587,Los Angeles,CA,United States}	{Food,}
2033	Thu Aug 11 02:39:56 +0000 2011	4b5e7328f964a520318f29e3	{Downtown Rehearsal}	{34.03541283213773,-118.22550773620605,Los Angeles,CA,United States}	{Music Venue,Arts & Entertainment,}
2033	Thu Aug 11 01:34:20 +0000 2011	4c9d524d54c8a1cd64e2824b	{Rock Nation}	{34.14584029582277,-118.77863095421293,Agoura Hills,CA,United States}	{College & University,Music Venue,Arts & Entertainment,}
2033	Wed Aug 10 10:29:00 +0000 2011	4dc64261d164eb9ca004b1b3	{My Hell}	{34.10011961244625,-118.34035055263331,Los Angeles,CA,United States}	{Residence,}
2033	Wed Aug 10 07:24:10 +0000 2011	4dc0fa1d8877c00d6ace1059	{Wilford Brimley's Diabeetis Dance Party Food Truck}	{34.09623598333334,-118.33940025,Los Angeles,CA,United States}	{Food,}
2033	Wed Aug 10 07:22:47 +0000 2011	4dc64261d164eb9ca004b1b3	{My Hell}	{34.10011961244625,-118.34035055263331,Los Angeles,CA,United States}	{Residence,}
===
2033	Sat Jul 09 21:41:26 +0000 2011	4c9d524d54c8a1cd64e2824b	{Rock Nation}	{34.14584029582277,-118.77863095421293,Agoura Hills,CA,United States}	{College & University,Music Venue,Arts & Entertainment,}
2033	Wed Jun 29 06:35:13 +0000 2011	4abef585f964a5209b9020e3	{BobaTime}	{34.059676,-118.292075,Los Angeles,CA,United States}	{Food,}
