3004	Fri Aug 05 02:57:43 +0000 2011	4b00cb8ef964a520274122e3	{Frances}	{37.76275295560687,-122.43226289749146,San Francisco,CA,United States}	{Food,}
3004	Thu Aug 04 19:44:50 +0000 2011	4a64b4cff964a52085c61fe3	{Goodby, Silverstein & Partners}	{37.79267887651738,-122.40652978420258,San Francisco,CA,United States}	{Professional & Other Places,}
3004	Sun Jul 17 21:46:52 +0000 2011	41059b00f964a520850b1fe3	{San Francisco International Airport (SFO)}	{37.61642405271961,-122.38627910614014,San Francisco,CA,United States}	{Travel & Transport,}
3004	Fri Jul 15 03:49:57 +0000 2011	4b197e7ef964a5205cde23e3	{Layla's Bluegrass Inn}	{36.16078646813338,-86.77807129927491,Nashville,TN,United States}	{Nightlife Spot,}
3004	Mon Jul 04 17:10:22 +0000 2011	4af5a4f1f964a520bffa21e3	{Tyranena Brewing Co}	{43.08631506687102,-88.89654624867163,Lake Mills,WI,United States}	{Nightlife Spot,}
3004	Sat Jun 25 17:52:46 +0000 2011	4c2e728266e40f47e343c08b	{Lustre}	{37.776892,-122.424697,San Francisco,CA,United States}	{Shop & Service,}
3004	Sat Jun 25 17:52:46 +0000 2011	4c2e728266e40f47e343c08b	{Lustre}	{37.776892,-122.424697,San Francisco,CA,United States}	{Shop & Service,}
3004	Thu Jun 23 04:17:31 +0000 2011	4abc421df964a520ef8620e3	{Fox Theater}	{37.80809019289311,-122.27061431370356,Oakland,CA,United States}	{Music Venue,Arts & Entertainment,}
3004	Sun Jun 12 03:29:17 +0000 2011	4a94231ef964a5207f2020e3	{Pi Bar}	{37.74995410171507,-122.42054833191528,San Francisco,CA,United States}	{Nightlife Spot,Food,}
3004	Sat May 21 01:02:58 +0000 2011	4ab59a72f964a5209e7520e3	{Healthy Spirits}	{37.765823,-122.43535076666667,San Francisco,CA,United States}	{Shop & Service,}
3004	Fri May 20 23:56:55 +0000 2011	4c1abbbd624b9c74b8791204	{Off the Grid: Fort Mason Center}	{37.806139045209385,-122.43122220039368,San Francisco,CA,United States}	{Food,}
3004	Fri May 20 00:32:00 +0000 2011	4b8c4d92f964a52075c932e3	{Fieldwork San Francisco}	{37.78440316637328,-122.39978468049655,San Francisco,CA,United States}	{Office,Professional & Other Places,}
3004	Wed May 18 22:57:08 +0000 2011	4b8c4d92f964a52075c932e3	{Fieldwork San Francisco}	{37.78440316637328,-122.39978468049655,San Francisco,CA,United States}	{Office,Professional & Other Places,}
3004	Sat May 14 01:27:10 +0000 2011	43b439b6f964a520bc2c1fe3	{Papalote Mexican Grill}	{37.752163420695425,-122.42097418166016,San Francisco,CA,United States}	{Food,}
3004	Fri May 06 19:05:50 +0000 2011	4479910ef964a520d8331fe3	{Yank Sing}	{37.79245632123354,-122.39333868026733,San Francisco,CA,United States}	{Food,}
3004	Thu May 05 03:00:32 +0000 2011	430e5b80f964a52043271fe3	{O.co Coliseum}	{37.75141203122262,-122.200927734375,Oakland,CA,United States}	{Stadium,Arts & Entertainment,}
3004	Wed May 04 18:20:22 +0000 2011	4a64b4cff964a52085c61fe3	{Goodby, Silverstein & Partners}	{37.79267887651738,-122.40652978420258,San Francisco,CA,United States}	{Professional & Other Places,}
3004	Tue May 03 16:26:13 +0000 2011	4b1bf3aff964a5208cff23e3	{Starbucks}	{37.79049992546272,-122.40558832883835,San Francisco,CA,United States}	{Food,}
3004	Sun May 01 23:31:57 +0000 2011	4a9ac296f964a520893220e3	{Upper Noe Recreation Center}	{37.74238342971332,-122.42794990539551,San Francisco,CA,United States}	{Outdoors & Recreation,Athletics & Sports,}
3004	Sun May 01 18:19:38 +0000 2011	49f5fb13f964a520e56b1fe3	{Golden Gate Park Children's Playground}	{37.76824678348723,-122.45769023895264,San Francisco,CA,United States}	{Outdoors & Recreation,}
3004	Sun May 01 16:26:11 +0000 2011	49b094fdf964a520c8521fe3	{Zazie}	{37.76524912923089,-122.45002190184468,San Francisco,CA,United States}	{Outdoors & Recreation,Food,}
3004	Fri Apr 29 15:58:27 +0000 2011	4b1bf3aff964a5208cff23e3	{Starbucks}	{37.79049992546272,-122.40558832883835,San Francisco,CA,United States}	{Food,}
3004	Fri Apr 29 03:30:41 +0000 2011	49d111f5f964a520575b1fe3	{Anchor & Hope}	{37.7879989674317,-122.39852298816723,San Francisco,CA,United States}	{Nightlife Spot,Food,}
3004	Sun Apr 24 22:43:34 +0000 2011	4abd43f4f964a5204f8920e3	{Whole Foods Market}	{37.751889,-122.430868,San Francisco,CA,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
