1949	Sat Apr 09 04:32:31 +0000 2011	3fd66200f964a5204bed1ee3	{Mint Karaoke Lounge}	{37.770233509474245,-122.4256971266422,San Francisco,CA,United States}	{Nightlife Spot,}
===
1949	Sat Nov 27 06:53:41 +0000 2010	49c7006bf964a52095571fe3	{Dick's Drive-In}	{47.718288,-122.29677827,Seattle,WA,United States}	{Food,}
1949	Fri Nov 26 22:48:19 +0000 2010	40b13b00f964a520ecf61ee3	{Redhook Brewery}	{47.73467933800901,-122.14973996073422,Woodinville,WA,United States}	{Nightlife Spot,Professional & Other Places,}
1949	Fri Nov 26 21:53:04 +0000 2010	4bc32bdf461576b0733a7e32	{Microsoft Millennium A}	{47.676699940589366,-122.09669542779979,Redmond,WA,United States}	{Professional & Other Places,}
1949	Fri Nov 26 21:51:50 +0000 2010	4bce41e3cc8cd13ae31bc4cf	{Nintendo of America Inc.}	{47.6529430008967,-122.14007723324931,Redmond,WA,United States}	{Office,Professional & Other Places,}
===
1949	Wed Oct 20 04:31:03 +0000 2010	4197f180f964a520131e1fe3	{Vertigo}	{37.78757591257018,-122.42003952216318,San Francisco,CA,United States}	{Nightlife Spot,}
1949	Sat Oct 16 02:25:16 +0000 2010	49c6844cf964a52054571fe3	{Pearl's Deluxe Burgers}	{37.7877166,-122.4136389,San Francisco,CA,United States}	{Food,}
1949	Wed Oct 06 19:25:01 +0000 2010	4ad8d6bcf964a520371521e3	{Los Compadres Taco Truck}	{37.784596510512785,-122.39577412605287,San Francisco,CA,United States}	{Food,}
1949	Fri Oct 01 04:27:49 +0000 2010	49ed2ea4f964a520d0671fe3	{Hi Dive Bar}	{37.78754721707836,-122.38749146461487,San Francisco,CA,United States}	{Nightlife Spot,}
1949	Sat Sep 25 03:34:58 +0000 2010	3fd66200f964a52041ee1ee3	{Zeitgeist}	{37.770116839430536,-122.42210805416107,San Francisco,CA,United States}	{Nightlife Spot,Food,}
1949	Fri Sep 17 20:27:28 +0000 2010	4ad8d6bcf964a520371521e3	{Los Compadres Taco Truck}	{37.784596510512785,-122.39577412605287,San Francisco,CA,United States}	{Food,}
1949	Thu Sep 16 18:56:51 +0000 2010	4ad8d6bcf964a520371521e3	{Los Compadres Taco Truck}	{37.784596510512785,-122.39577412605287,San Francisco,CA,United States}	{Food,}
1949	Fri Sep 10 20:38:43 +0000 2010	4ad8d6bcf964a520371521e3	{Los Compadres Taco Truck}	{37.784596510512785,-122.39577412605287,San Francisco,CA,United States}	{Food,}
1949	Thu Sep 09 19:14:16 +0000 2010	4ad8d6bcf964a520371521e3	{Los Compadres Taco Truck}	{37.784596510512785,-122.39577412605287,San Francisco,CA,United States}	{Food,}
1949	Fri Sep 03 19:46:43 +0000 2010	4ad8d6bcf964a520371521e3	{Los Compadres Taco Truck}	{37.784596510512785,-122.39577412605287,San Francisco,CA,United States}	{Food,}
1949	Fri Sep 03 19:46:43 +0000 2010	4ad8d6bcf964a520371521e3	{Los Compadres Taco Truck}	{37.784596510512785,-122.39577412605287,San Francisco,CA,United States}	{Food,}
1949	Wed Sep 01 02:30:07 +0000 2010	4bd9de433904a59330f8439e	{SF New Tech}	{37.767450757303386,-122.4070087282916,Sausalito,CA,United States}	{Professional & Other Places,}
1949	Thu Aug 26 20:00:09 +0000 2010	49f13ca7f964a520a2691fe3	{Caf? Venue Fremont}	{37.7893117603878,-122.3952209949145,San Francisco,CA,United States}	{Food,}
1949	Wed Aug 25 19:21:13 +0000 2010	4ad8d6bcf964a520371521e3	{Los Compadres Taco Truck}	{37.784596510512785,-122.39577412605287,San Francisco,CA,United States}	{Food,}
1949	Fri Aug 20 20:14:55 +0000 2010	42accc80f964a52043251fe3	{Toy Tokyo}	{40.727069811216374,-73.98887112157107,New York,NY,United States}	{Shop & Service,}
1949	Thu Aug 19 22:16:58 +0000 2010	3fd66200f964a52084e51ee3	{Eisenberg's Sandwich Shop}	{40.74088420686416,-73.98983001708984,New York,NY,United States}	{Food,}
1949	Thu Aug 19 00:50:02 +0000 2010	4acbe67af964a52044c820e3	{Katz's Delicatessen}	{40.72230706635953,-73.98735165596008,New York,NY,United States}	{Food,}
1949	Wed Aug 18 13:03:54 +0000 2010	4bfe18f9bf6576b07344aeb8	{Gate A2}	{37.61362162980218,-122.38901764154434,San Francisco,CA,United States}	{Travel & Transport,Airport,}
1949	Tue Aug 17 03:32:37 +0000 2010	49ed2ea4f964a520d0671fe3	{Hi Dive Bar}	{37.78754721707836,-122.38749146461487,San Francisco,CA,United States}	{Nightlife Spot,}
1949	Wed Aug 04 04:03:49 +0000 2010	4b54afd9f964a52016c727e3	{Rosamunde Sausage Grill}	{37.75171051460372,-122.41847989430097,San Francisco,CA,United States}	{Nightlife Spot,Food,}
