1172	Tue Dec 06 17:22:35 +0000 2011	4b55e683f964a52060f527e3	{Temecula DMV Office}	{33.5061122982317,-117.1612257342929,Temecula,CA,United States}	{Professional & Other Places,}
===
1172	Sat Aug 06 00:58:19 +0000 2011	4c76c9c3923ba143280665e6	{Linfield School}	{33.50227426794984,-117.11000130967048,Temecula,CA,United States}	{School,Professional & Other Places,}
1172	Thu Aug 04 02:08:14 +0000 2011	4afe4574f964a5200c2f22e3	{Starbucks}	{33.56638,-117.2045,Murrieta,CA,United States}	{Food,}
1172	Wed Aug 03 19:15:20 +0000 2011	49dbd564f964a520165f1fe3	{BJ's Restaurant & Brewhouse}	{33.51960783920749,-117.15600449534527,Temecula,CA,United States}	{Nightlife Spot,Food,}
1172	Tue Aug 02 20:57:30 +0000 2011	4b60a1e9f964a52066f129e3	{Fitness 19}	{33.551993981104026,-117.13713455306595,Murrieta,CA,United States}	{Shop & Service,Gym / Fitness Center,}
1172	Sat Jul 30 01:06:50 +0000 2011	4d56d369a747b60c54812d2b	{Padres Clubhouse}	{32.70738620159745,-117.15610214349962,,CA,United States}	{Convention Center,Professional & Other Places,}
1172	Thu Jul 28 21:39:07 +0000 2011	4b60a1e9f964a52066f129e3	{Fitness 19}	{33.551993981104026,-117.13713455306595,Murrieta,CA,United States}	{Shop & Service,Gym / Fitness Center,}
1172	Wed Jul 27 00:10:52 +0000 2011	4b60a1e9f964a52066f129e3	{Fitness 19}	{33.551993981104026,-117.13713455306595,Murrieta,CA,United States}	{Shop & Service,Gym / Fitness Center,}
1172	Wed Jul 27 00:09:58 +0000 2011	4db8b072fa8c978590bf40a6	{Temecula Youth Baseball Fields}	{33.47592161698609,-117.12245098848699,Temecula,CA,United States}	{Outdoors & Recreation,Athletics & Sports,}
1172	Mon Jul 25 18:35:06 +0000 2011	4b9fcaf3f964a520253f37e3	{Temecula Car Wash and Quick Lube}	{33.507725,-117.14136,Temecula,CA,United States}	{Shop & Service,}
