2835	Sun Jun 26 10:53:19 +0000 2011	4e0242b1a8091704343b73b0	{Peripetie  (yeni)}	{41.036027617427585,28.982237478029806,Istanbul,,Turkey}	{Nightlife Spot,}
===
2835	Sun May 29 15:24:06 +0000 2011	482d61baf964a520d64f1fe3	{Denver International Airport (DEN)}	{39.85029261500981,-104.67378616333006,Denver,CO,United States}	{Travel & Transport,}
2835	Thu May 19 00:35:37 +0000 2011	4bda318763c5c9b699392368	{Spring Mountain Vineyard}	{38.506291368766256,-122.491270961403,Saint Helena,CA,United States}	{Food,}
2835	Sat May 14 22:04:08 +0000 2011	4a99a515f964a5209c2f20e3	{Cliff Lede Winery}	{38.42426029695376,-122.34451483592153,Napa,CA,United States}	{Food,}
2835	Sat May 14 21:04:01 +0000 2011	49fdda63f964a520356f1fe3	{Domaine Chandon}	{38.39675281841831,-122.36432790756226,Yountville,CA,United States}	{Nightlife Spot,Food,}
2835	Tue May 10 23:29:25 +0000 2011	4b6dceeef964a520d6912ce3	{PlumpJack Winery}	{38.455537645839364,-122.37446894340125,Oakville,CA,United States}	{Nightlife Spot,Food,}
2835	Mon May 09 18:41:04 +0000 2011	4a995db4f964a520f92d20e3	{Gillwoods Cafe}	{38.50440104680694,-122.46916698373053,Saint Helena,CA,United States}	{Food,}
2835	Sat May 07 20:00:58 +0000 2011	4a945890f964a520472120e3	{Round Pond Estate}	{38.46405158,-122.402962,Rutherford,CA,United States}	{Food,}
2835	Fri May 06 23:30:26 +0000 2011	4b410e9bf964a5203ec025e3	{Envy Wines}	{38.59195235555464,-122.60217547416687,Calistoga,CA,United States}	{Outdoors & Recreation,Food,}
2835	Fri May 06 22:01:21 +0000 2011	4a05d11ef964a5207d721fe3	{Merryvale Vineyards}	{38.50213734014518,-122.46444404125214,St. Helena,CA,United States}	{Food,}
2835	Fri May 06 21:01:16 +0000 2011	4bbe765485fbb71375dd7067	{Flora Springs Winery - The Room}	{38.488191958980615,-122.4497938156128,Saint Helena,CA,United States}	{Food,}
2835	Thu May 05 21:32:50 +0000 2011	4cd071047b685481a887c1f8	{Tamber Bey Tasting Room}	{38.504801,-122.470931,Saint Helena,CA,United States}	{Nightlife Spot,Food,}
2835	Thu May 05 00:55:43 +0000 2011	4a1702d0f964a5202d791fe3	{Robert Mondavi Winery}	{38.44111923885385,-122.40941047668457,Oakville,CA,United States}	{Food,}
2835	Sun May 01 02:27:48 +0000 2011	4cb1036dcbab236adf98a573	{Stony Meadow}	{38.426076,-122.34262636666666,Yountville,CA,United States}	{Arts & Entertainment,}
2835	Thu Apr 28 17:42:42 +0000 2011	4b0246c5f964a5204e4822e3	{Napa Valley Coffee Roasting Co.}	{38.50459529320712,-122.47106909751892,Saint Helena,CA,United States}	{Food,}
2835	Thu Apr 28 17:00:23 +0000 2011	4be4dda02468c9280878ff42	{Sogni Di Dolci}	{38.503793290581704,-122.46746988586912,Saint Helena,CA,United States}	{Food,}
2835	Thu Apr 28 03:44:31 +0000 2011	4bedaca7a40fc9289153820c	{Poolside at Meadowood}	{38.52090675485136,-122.46374130249023,St Helena,CA,United States}	{Outdoors & Recreation,}
2835	Sun Apr 24 23:14:25 +0000 2011	4b4771bdf964a5204e3226e3	{Ma(i)sonry Napa Valley}	{38.40540912677775,-122.36645692772653,Yountville,CA,United States}	{Nightlife Spot,Shop & Service,Arts & Entertainment,}
2835	Sun Apr 24 20:13:40 +0000 2011	4c40ffbdd7fad13a29ee06da	{W. H. Smith Wines}	{38.57826299901196,-122.57922649383545,Calistoga,CA,United States}	{Nightlife Spot,Shop & Service,Food,Food & Drink Shop,}
2835	Sat Apr 23 18:20:27 +0000 2011	4b2eb95ef964a520b1e524e3	{Napa Valley Coffee Roasting Company}	{38.2991730672125,-122.28545058635673,Napa,CA,United States}	{Travel & Transport,Food,Hotel,}
2835	Sat Apr 23 04:36:43 +0000 2011	4c16ce8096040f47077873a5	{Carpe Diem Wine Bar}	{38.29835689285946,-122.28522354439401,Napa,CA,United States}	{Nightlife Spot,}
