368	Tue Aug 09 20:11:26 +0000 2011	4a3bfd27f964a520faa01fe3	{Famima!!}	{34.01590347290039,-118.49652349948883,Santa Monica,CA,United States}	{Food,}
368	Tue Aug 09 20:10:37 +0000 2011	4dcdb64552b1f8915b847c16	{Livingsocial}	{34.015516,-118.496476,Santa Monica,CA,United States}	{Professional & Other Places,}
368	Tue Aug 09 20:09:48 +0000 2011	4db5b38543a1369cb5d5aa03	{Livingsocial}	{34.01631000131288,-118.49499816011478,Santa Monica,CA,United States}	{Professional & Other Places,}
368	Tue Aug 09 06:36:17 +0000 2011	4ab06de3f964a5205a6720e3	{Venice Canals}	{33.9840968405181,-118.46639156341553,Venice,CA,United States}	{Outdoors & Recreation,}
368	Mon Aug 08 02:44:51 +0000 2011	4c59b4206407d13a25dbb228	{Little Ethiopia}	{34.05783271415126,-118.36390972137451,Los Angeles,CA,United States}	{Outdoors & Recreation,}
368	Mon Aug 08 02:44:16 +0000 2011	4c31476b213c2d7f93cc335d	{City of Los Angeles}	{34.04945928842325,-118.25263023376465,Los Angeles,CA,United States}	{Outdoors & Recreation,}
368	Mon Aug 08 02:42:54 +0000 2011	4cc218ead43ba1435a2356f8	{The Intersection Biggie Got Shot}	{34.062827930899886,-118.36146354675293,West Hollywood,CA,United States}	{Travel & Transport,}
368	Sun Aug 07 22:44:45 +0000 2011	4b9467b0f964a520167834e3	{Melrose Avenue}	{34.08380107155366,-118.35348129272461,Los Angeles,CA,United States}	{Travel & Transport,Shop & Service,Outdoors & Recreation,}
368	Sun Aug 07 22:44:30 +0000 2011	4d81c318c8bdb1f70c35d0c2	{Joe Golds Magical Dark Palace}	{34.080617,-118.357523,,,United States}	{Arts & Entertainment,}
368	Sat Aug 06 22:35:17 +0000 2011	4d81c318c8bdb1f70c35d0c2	{Joe Golds Magical Dark Palace}	{34.080617,-118.357523,,,United States}	{Arts & Entertainment,}
368	Sat Aug 06 21:37:07 +0000 2011	4a9acfe6f964a520e33220e3	{Tart}	{34.073691,-118.361533,Los Angeles,CA,United States}	{Food,}
368	Sat Aug 06 20:12:25 +0000 2011	4d81c318c8bdb1f70c35d0c2	{Joe Golds Magical Dark Palace}	{34.080617,-118.357523,,,United States}	{Arts & Entertainment,}
368	Sat Aug 06 20:12:12 +0000 2011	4b9467b0f964a520167834e3	{Melrose Avenue}	{34.08380107155366,-118.35348129272461,Los Angeles,CA,United States}	{Travel & Transport,Shop & Service,Outdoors & Recreation,}
368	Sat Aug 06 02:53:34 +0000 2011	4c126ba6a1010f47dfcb4818	{Pacific Amphitheatre}	{33.66621101327118,-117.9047155380249,Costa Mesa,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
368	Sat Aug 06 02:52:51 +0000 2011	4e1cb53f52b1c2b69f37aaae	{OC Fair 2011}	{33.66667534125443,-117.90162563323975,Costa Mesa,CA,United States}	{Professional & Other Places,}
368	Mon Aug 01 19:19:35 +0000 2011	4dcdb64552b1f8915b847c16	{Livingsocial}	{34.015516,-118.496476,Santa Monica,CA,United States}	{Professional & Other Places,}
368	Mon Aug 01 19:19:16 +0000 2011	4db5b38543a1369cb5d5aa03	{Livingsocial}	{34.01631000131288,-118.49499816011478,Santa Monica,CA,United States}	{Professional & Other Places,}
368	Sun Jul 31 21:44:11 +0000 2011	4ab06de3f964a5205a6720e3	{Venice Canals}	{33.9840968405181,-118.46639156341553,Venice,CA,United States}	{Outdoors & Recreation,}
368	Sun Jul 31 18:35:10 +0000 2011	4b9467b0f964a520167834e3	{Melrose Avenue}	{34.08380107155366,-118.35348129272461,Los Angeles,CA,United States}	{Travel & Transport,Shop & Service,Outdoors & Recreation,}
368	Sun Jul 31 18:33:38 +0000 2011	4d81c318c8bdb1f70c35d0c2	{Joe Golds Magical Dark Palace}	{34.080617,-118.357523,,,United States}	{Arts & Entertainment,}
368	Sun Jul 31 06:51:46 +0000 2011	4c1c343db306c928409863b7	{Loaded Rock Bar}	{34.101811,-118.329123,Hollywood,CA,United States}	{Nightlife Spot,}
