372	Sun Aug 07 23:29:09 +0000 2011	4c52fec7b6dabe9aad841714	{The Fremont Festival of the Arts}	{37.553934074822024,-121.98178052902222,Fremont,CA,United States}	{Arts & Entertainment,}
372	Sun Aug 07 21:25:30 +0000 2011	4a1df50bf964a520ae7b1fe3	{Panera Bread}	{37.55518153464323,-121.98197681539389,Fremont,CA,United States}	{Food,}
372	Sun Aug 07 00:48:30 +0000 2011	4a5a7cdcf964a5206cba1fe3	{Mission Hand Car Wash}	{37.66759785,-122.080419,Hayward,CA,United States}	{Shop & Service,}
372	Sat Aug 06 23:51:25 +0000 2011	4cdefb74df986ea82f51df16	{Kokyo Sushi Buffet}	{37.67381,-122.081268,Hayward,CA,United States}	{Food,}
372	Sat Jul 30 22:35:38 +0000 2011	4beb4a92a9900f47d3ae1740	{The Body Shop}	{37.416291760847706,-121.89679657012532,Milpitas,CA,United States}	{Shop & Service,}
372	Sat Jul 30 22:04:24 +0000 2011	4b5b8db4f964a520960629e3	{American Eagle Outfitters}	{37.416821473247815,-121.89746346853643,Milpitas,CA,United States}	{Shop & Service,}
372	Sat Jul 30 22:02:10 +0000 2011	4b8ac517f964a520d17f32e3	{Oakley Vault}	{37.41734550362667,-121.89834154530074,Milpitas,CA,United States}	{Shop & Service,Clothing Store,}
372	Sat Jul 30 21:59:56 +0000 2011	4a73f31af964a520a0dd1fe3	{Great Mall}	{37.41577732983742,-121.8976879119873,Milpitas,CA,United States}	{Shop & Service,}
372	Sat Jul 30 19:48:24 +0000 2011	4a86e93ef964a520970120e3	{Hobee's Restaurant}	{37.395591866557034,-122.02810306871851,Sunnyvale,CA,United States}	{Food,}
372	Sat Jul 30 04:50:30 +0000 2011	43ba62b4f964a520e72c1fe3	{Norman Y. Mineta San Jos? International Airport (SJC)}	{37.36662498287745,-121.9263043999672,San Jose,CA,United States}	{Travel & Transport,}
372	Sat Jul 30 00:50:35 +0000 2011	4b5a6c16f964a5202fc428e3	{Wolfgang Puck Express}	{39.85872300672862,-104.67374842024817,Denver,CO,United States}	{Food,}
372	Sat Jul 30 00:26:32 +0000 2011	4e334f85d164be7ec598e79f	{Gate B51}	{39.859513,-104.670344,Denver,CO,United States}	{Travel & Transport,Airport,}
372	Sat Jul 30 00:20:56 +0000 2011	482d61baf964a520d64f1fe3	{Denver International Airport (DEN)}	{39.85029261500981,-104.67378616333006,Denver,CO,United States}	{Travel & Transport,}
372	Fri Jul 29 20:19:38 +0000 2011	4b033323f964a520724d22e3	{LinkedIn}	{41.27960927480122,-96.09857775159254,Omaha,NE,United States}	{Professional & Other Places,}
372	Fri Jul 29 13:00:13 +0000 2011	4ad4f295f964a52075fe20e3	{Marriott Omaha}	{41.26114266606691,-96.07285005973948,Omaha,NE,United States}	{Travel & Transport,Food,}
