3158	Fri Jul 22 02:08:55 +0000 2011	4bf5cce7004ed13af06141a0	{Chef's Market}	{38.298271640726654,-122.28689035337312,Napa,CA,United States}	{Nightlife Spot,Arts & Entertainment,}
3158	Wed Jul 20 18:04:43 +0000 2011	4bcb2745cc8cd13a38bebecf	{Sacramento, CA}	{38.58111715540504,-121.49424076080324,Sacramento,CA,United States}	{Outdoors & Recreation,}
3158	Mon Jul 18 19:20:12 +0000 2011	4aca7740f964a52008c220e3	{Sushi Mambo}	{38.298512864476706,-122.28702325396107,Napa,CA,United States}	{Food,}
3158	Sun Jul 17 20:02:13 +0000 2011	4b2d6249f964a52081d524e3	{Napa Valley Marriott Hotel & Spa}	{38.32308558738984,-122.31213848061128,Napa,CA,United States}	{Travel & Transport,}
3158	Tue Jul 12 02:25:57 +0000 2011	4b5ce0b6f964a520da4829e3	{Sciandri Family Vineyards}	{38.282705,-122.238267,Napa,CA,United States}	{Food,}
===
3158	Sat May 07 03:03:17 +0000 2011	4b2d6249f964a52081d524e3	{Napa Valley Marriott Hotel & Spa}	{38.32308558738984,-122.31213848061128,Napa,CA,United States}	{Travel & Transport,}
===
3158	Wed Mar 30 01:42:37 +0000 2011	4a2ae37df964a52066961fe3	{Oxbow Public Market}	{38.301669,-122.281671,Napa,CA,United States}	{Shop & Service,Food & Drink Shop,}
===
3158	Sun Feb 06 03:48:54 +0000 2011	4b2d6249f964a52081d524e3	{Napa Valley Marriott Hotel & Spa}	{38.32308558738984,-122.31213848061128,Napa,CA,United States}	{Travel & Transport,}
3158	Sun Jan 30 05:22:50 +0000 2011	4a9a089ff964a520703120e3	{Silo's}	{38.2961489172973,-122.28284234339135,Napa,CA,United States}	{Music Venue,Arts & Entertainment,}
===
3158	Fri Dec 24 23:41:58 +0000 2010	45e5c256f964a52046431fe3	{Mudville Restaurant & Tap House}	{40.715284,-74.008876,New York,NY,United States}	{Nightlife Spot,Food,}
3158	Wed Dec 22 01:35:14 +0000 2010	4ae6363ef964a520aba521e3	{Madison Square Garden}	{40.75051626137434,-73.9934992790222,New York,NY,United States}	{Arts & Entertainment,}
3158	Sun Dec 19 00:06:42 +0000 2010	49e7ce15f964a5201d651fe3	{Regal Battery Park Stadium 11}	{40.714905221546786,-74.01532594949983,New York,NY,United States}	{Arts & Entertainment,Movie Theater,}
3158	Sat Dec 18 14:05:03 +0000 2010	4a749e96f964a520e0de1fe3	{Battery Park Pier}	{40.70439167854597,-74.01785373687744,New York,NY,United States}	{Travel & Transport,Outdoors & Recreation,}
3158	Wed Dec 08 03:58:57 +0000 2010	4a73a478f964a5200ddd1fe3	{The Westin Verasa Napa}	{38.3033414402383,-122.28362560272217,Napa,CA,United States}	{Nightlife Spot,Travel & Transport,}
3158	Fri Dec 03 03:43:22 +0000 2010	4a7f75b1f964a5201ff41fe3	{La Dolce Vita Wine Lounge}	{38.233049,-122.63736063000002,Petaluma,CA,United States}	{Nightlife Spot,}
3158	Sat Nov 27 01:00:46 +0000 2010	4cbf495d8db3b60cd4727778	{Driven Raceway}	{38.262618374568746,-122.05748533533789,Fairfield,CA,United States}	{Arts & Entertainment,}
3158	Mon Nov 22 01:03:42 +0000 2010	4b65d3def964a52061022be3	{Saint John The Baptist Catholic Church}	{38.302729098893046,-122.28722814204205,Napa,CA,United States}	{Spiritual Center,Professional & Other Places,}
