586	Fri Aug 12 05:58:09 +0000 2011	4c7f2ad7fb13a1cd4709a0a4	{Big D's}	{34.055168,-118.005463,La Puente,CA,United States}	{Food,}
586	Fri Aug 12 03:33:44 +0000 2011	4b2053e2f964a520a53024e3	{Ralph Brennan's Jazz Kitchen}	{33.80899402138719,-117.92365193367004,Anaheim,CA,United States}	{Music Venue,Food,Arts & Entertainment,}
586	Wed Aug 10 15:58:07 +0000 2011	4b6f9fa9f964a52045f82ce3	{Icho Izakaya}	{34.103094416666664,-118.09186966666667,San Gabriel,CA,United States}	{Food,}
586	Wed Aug 10 00:57:09 +0000 2011	4b08a7fdf964a5205c1023e3	{Target}	{34.07459485770355,-118.07075500488281,Rosemead,CA,United States}	{Shop & Service,}
586	Tue Aug 09 05:02:57 +0000 2011	4b0b19acf964a520e42c23e3	{AMPM}	{34.10787461215821,-118.0519387773008,Arcadia,CA,United States}	{Shop & Service,}
586	Mon Aug 08 17:17:57 +0000 2011	4bb4e7aec29a9521faeca735	{Temple City Car Wash}	{34.09941996151693,-118.0730330156041,Temple City,CA,United States}	{Shop & Service,Professional & Other Places,}
586	Sun Aug 07 22:10:52 +0000 2011	4b3668a9f964a520c43425e3	{Big Lots}	{34.10690326236645,-118.05167008102323,Arcadia,CA,United States}	{Shop & Service,}
586	Wed Aug 03 19:52:27 +0000 2011	4b5203a9f964a5205e6127e3	{McDonald's}	{34.107871200097286,-118.05559757951575,Temple City,CA,United States}	{Food,}
586	Mon Aug 01 00:01:03 +0000 2011	4b413ed7f964a520fcc325e3	{JJ Bakery}	{33.98599683370243,-117.88866821801727,Rowland Heights,CA,United States}	{Food,}
586	Thu Jul 28 04:01:04 +0000 2011	4c570b71d12a20a163d065bd	{Fresh & Easy Neighborhood Market}	{34.08057098,-118.07230443,Rosemead,CA,United States}	{Shop & Service,Food & Drink Shop,}
586	Thu Jul 28 03:00:28 +0000 2011	4cab6c8476d3a093451c2c6b	{Dr Eileen Chen}	{34.12465354213266,-118.05195021117589,Arcadia,CA,United States}	{Medical Center,Professional & Other Places,}
586	Sun Jul 24 09:33:25 +0000 2011	4ccf1f926449a0937514c3cf	{LA County Fire Station 119}	{33.97654736388569,-117.8526321879808,walnut,CA,United States}	{Government Building,Professional & Other Places,}
