12	Wed Dec 14 16:00:30 +0000 2011	4b8f0e7ff964a520df4633e3	{Golden Gate San Francisco Ferry Terminal}	{37.79599169162252,-122.39264667034149,San Francisco,CA,United States}	{Travel & Transport,}
===
12	Thu Aug 11 15:18:30 +0000 2011	4cb498f8aef16dcb0636d054	{California Regional Water Quality Control Board}	{34.04933179838213,-118.24957012457409,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Thu Aug 11 15:18:16 +0000 2011	4cb4b22a562d224bae523688	{State Of California}	{34.049271,-118.249303,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Thu Aug 11 15:18:08 +0000 2011	4e2f452681dca4453d60d4b7	{Santa Monica Bay Restoration Commission}	{34.04945928842325,-118.24956446886063,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Wed Aug 10 16:22:11 +0000 2011	4cb498f8aef16dcb0636d054	{California Regional Water Quality Control Board}	{34.04933179838213,-118.24957012457409,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Wed Aug 10 14:49:25 +0000 2011	4cb4b22a562d224bae523688	{State Of California}	{34.049271,-118.249303,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Wed Aug 10 14:49:05 +0000 2011	4e2f452681dca4453d60d4b7	{Santa Monica Bay Restoration Commission}	{34.04945928842325,-118.24956446886063,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Tue Aug 09 16:37:50 +0000 2011	4cb498f8aef16dcb0636d054	{California Regional Water Quality Control Board}	{34.04933179838213,-118.24957012457409,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Tue Aug 09 16:37:43 +0000 2011	4cb4b22a562d224bae523688	{State Of California}	{34.049271,-118.249303,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Tue Aug 09 16:37:34 +0000 2011	4e2f452681dca4453d60d4b7	{Santa Monica Bay Restoration Commission}	{34.04945928842325,-118.24956446886063,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Mon Aug 08 22:55:24 +0000 2011	4c3a3970dfb0e21ed2d6b1a8	{Marina Del Rey Dock 52}	{33.97661711110445,-118.44186873750066,Marina Del Rey,CA,United States}	{Travel & Transport,}
12	Mon Aug 08 22:55:15 +0000 2011	4aa573c5f964a5206e4820e3	{Docks - Marina Del Rey}	{33.98139419350307,-118.44182310595816,Los Angeles,CA,United States}	{Outdoors & Recreation,}
12	Mon Aug 08 15:15:50 +0000 2011	4cb498f8aef16dcb0636d054	{California Regional Water Quality Control Board}	{34.04933179838213,-118.24957012457409,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Mon Aug 08 15:15:50 +0000 2011	4cb498f8aef16dcb0636d054	{California Regional Water Quality Control Board}	{34.04933179838213,-118.24957012457409,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Mon Aug 08 15:15:24 +0000 2011	4cb4b22a562d224bae523688	{State Of California}	{34.049271,-118.249303,Los Angeles,CA,United States}	{Professional & Other Places,}
12	Mon Aug 08 15:15:14 +0000 2011	4e2f452681dca4453d60d4b7	{Santa Monica Bay Restoration Commission}	{34.04945928842325,-118.24956446886063,Los Angeles,CA,United States}	{Professional & Other Places,}
