2416	Sat Aug 13 14:29:58 +0000 2011	4c470c3e1ddec928c11b9c32	{Highway 3 At Cedar Drive}	{29.37222752088853,-94.96376037597656,La Marque,TX,United States}	{Travel & Transport,}
2416	Thu Aug 11 22:53:10 +0000 2011	4bfb34c665fbc9b6022f916c	{SONIC Drive In}	{36.39007576228086,-97.93905973434448,Enid,OK,United States}	{Food,}
2416	Thu Aug 11 17:06:55 +0000 2011	4be301f4f07b0f4714d3f643	{Wee Too Restaurant}	{36.434701443828864,-97.87314058576068,Enid,OK,United States}	{Food,}
2416	Wed Aug 10 19:19:13 +0000 2011	4b7851d1f964a52002c52ee3	{Will Rogers World Airport (OKC)}	{35.395493820937496,-97.59653671248208,Oklahoma City,OK,United States}	{Travel & Transport,Airport,}
2416	Wed Aug 10 14:59:03 +0000 2011	4bc7da668b7c9c74225837cf	{Minneapolis-St. Paul International Airport (MSP)}	{44.884397546192474,-93.21178436279297,Minneapolis,MN,United States}	{Travel & Transport,}
2416	Wed Aug 10 13:38:33 +0000 2011	4b344d59f964a520e02625e3	{Fargo Hector International Airport (FAR)}	{46.919867813994,-96.82552759393162,Fargo,ND,United States}	{Travel & Transport,Airport,}
2416	Sun Jul 24 05:37:23 +0000 2011	4bccb89dfb84c9b69fe8203e	{Blue Frog's Local 22}	{41.88985068690511,-87.6270604133606,Chicago,IL,United States}	{Nightlife Spot,Food,}
2416	Sun Jul 24 02:29:40 +0000 2011	4b2c2b02f964a52004c324e3	{Jaipur Indian}	{41.884208,-87.649309,Chicago,IL,United States}	{Food,}
2416	Sat Jul 23 21:46:18 +0000 2011	40dcbc80f964a52081011fe3	{Wrigley Field}	{41.94825586972943,-87.65547037124634,Chicago,IL,United States}	{Stadium,Arts & Entertainment,}
2416	Sat Jul 23 15:54:17 +0000 2011	4a330469f964a520f09a1fe3	{Palmer House Hilton}	{41.88040951414415,-87.62701749801636,Chicago,IL,United States}	{Travel & Transport,}
2416	Sat Jul 23 03:32:53 +0000 2011	4a346e24f964a520409c1fe3	{SUSHISAMBA rio}	{41.89109662579461,-87.63429164886475,Chicago,IL,United States}	{Nightlife Spot,Food,}
