2173	Wed Aug 10 04:58:04 +0000 2011	49f22a60f964a520046a1fe3	{AMC Century City 15}	{34.05799270786358,-118.41881990432739,Los Angeles,CA,United States}	{Food,Arts & Entertainment,Movie Theater,}
2173	Fri Aug 05 22:46:20 +0000 2011	4b37fd57f964a520cd4925e3	{Regal Marina del Rey 6}	{33.985996173601386,-118.44002276659012,Marina del Rey,CA,United States}	{Arts & Entertainment,Movie Theater,}
2173	Mon Aug 01 23:22:55 +0000 2011	4a4457c7f964a52078a71fe3	{Starbucks}	{34.186559,-118.413554,North Hollywood,CA,United States}	{Food,}
2173	Wed Jul 27 23:57:22 +0000 2011	4baff4c0f964a520242e3ce3	{Elephant Odyssey}	{32.73627216420595,-117.15312838554382,San Diego,CA,United States}	{Outdoors & Recreation,Arts & Entertainment,}
===
2173	Tue Jun 07 10:40:58 +0000 2011	4b8ff39df964a520be6b33e3	{Sushi Rehavia}	{31.771794724084394,35.21349906921387,Jerusalem,,Israel}	{Food,}
2173	Mon Jun 06 16:11:42 +0000 2011	4de67aa652b16c61fe4ce108	{Jerusalem Apartment}	{31.7695839125,35.2085976125,Jerusalem,,Israel}	{Residence,}
2173	Sun Jun 05 19:49:42 +0000 2011	4cc74302ee718cfaf082b03d	{Mike's Place}	{31.781265,35.220585,Jerusalem,,Israel}	{Nightlife Spot,Food,}
2173	Thu Jun 02 13:03:52 +0000 2011	4bfb6c8dd0382d7f4ab0c90a	{Hill overlooking Gaza Strip}	{31.52318021184728,34.580954500533686,Sderot,HaDarom,Israel}	{Outdoors & Recreation,}
2173	Wed Jun 01 17:46:28 +0000 2011	4de67aa652b16c61fe4ce108	{Jerusalem Apartment}	{31.7695839125,35.2085976125,Jerusalem,,Israel}	{Residence,}
2173	Sun May 29 18:48:59 +0000 2011	4b7325faf964a520569e2de3	{Ben Yehuda Pedestrian Mall | ?????? ?? ?????}	{31.781682881814298,35.21846107870751,Jerusalem,Israel,Israel}	{Travel & Transport,Shop & Service,}
===
2173	Mon Apr 25 19:44:40 +0000 2011	4c40df613735be9a218d17a4	{Hands For Hope}	{34.16259005714286,-118.37496,North Hollywood,CA,United States}	{Professional & Other Places,}
2173	Fri Apr 22 04:18:30 +0000 2011	4ae0a1d8f964a5201b8121e3	{California State University, Northridge (CSUN)}	{34.23815240393933,-118.52963513680479,Northridge,CA,United States}	{College & University,}
2173	Mon Apr 18 20:06:56 +0000 2011	4c40df613735be9a218d17a4	{Hands For Hope}	{34.16259005714286,-118.37496,North Hollywood,CA,United States}	{Professional & Other Places,}
2173	Fri Apr 15 09:49:46 +0000 2011	4d20c1da5c4ca1cd82e5a33d	{Noah's House}	{33.98891016497542,-118.45719737539774,Venice,CA,United States}	{Residence,}
===
2173	Fri Mar 18 02:51:50 +0000 2011	3fd66200f964a52045f01ee3	{Tonga Hut}	{34.186443965141464,-118.41216566530417,North Hollywood,CA,United States}	{Nightlife Spot,}
2173	Mon Mar 14 20:39:59 +0000 2011	4a4457c7f964a52078a71fe3	{Starbucks}	{34.186559,-118.413554,North Hollywood,CA,United States}	{Food,}
2173	Tue Mar 01 20:46:59 +0000 2011	4c40df613735be9a218d17a4	{Hands For Hope}	{34.16259005714286,-118.37496,North Hollywood,CA,United States}	{Professional & Other Places,}
