837	Wed Jan 26 06:18:08 +0000 2011	4abffadef964a520569320e3	{The Melting Pot}	{33.8328202571879,-118.35333152553281,Torrance,CA,United States}	{Food,}
837	Wed Jan 26 01:35:39 +0000 2011	4a806b90f964a5202ff51fe3	{Best Buy}	{34.06298944492975,-118.44352857635525,Los Angeles,CA,United States}	{Shop & Service,}
837	Tue Jan 25 02:31:18 +0000 2011	4a806b90f964a5202ff51fe3	{Best Buy}	{34.06298944492975,-118.44352857635525,Los Angeles,CA,United States}	{Shop & Service,}
837	Sat Jan 22 04:08:51 +0000 2011	4a806b90f964a5202ff51fe3	{Best Buy}	{34.06298944492975,-118.44352857635525,Los Angeles,CA,United States}	{Shop & Service,}
837	Mon Jan 17 21:58:19 +0000 2011	4aac1e40f964a520615c20e3	{Blue Wave Car Wash}	{34.049495,-118.43626756666667,Los Angeles,CA,United States}	{Shop & Service,}
837	Sat Jan 15 13:53:22 +0000 2011	4a806b90f964a5202ff51fe3	{Best Buy}	{34.06298944492975,-118.44352857635525,Los Angeles,CA,United States}	{Shop & Service,}
837	Fri Jan 14 16:56:47 +0000 2011	4a806b90f964a5202ff51fe3	{Best Buy}	{34.06298944492975,-118.44352857635525,Los Angeles,CA,United States}	{Shop & Service,}
837	Wed Jan 12 07:33:28 +0000 2011	4a5aace1f964a520bdba1fe3	{24 Hour Fitness}	{34.0199521389491,-118.45089783275,Santa Monica,CA,United States}	{Shop & Service,}
837	Wed Jan 12 01:50:50 +0000 2011	4a806b90f964a5202ff51fe3	{Best Buy}	{34.06298944492975,-118.44352857635525,Los Angeles,CA,United States}	{Shop & Service,}
837	Tue Jan 11 01:09:55 +0000 2011	4b8047dff964a520c56330e3	{Watermans - A Safe House For Surfers}	{33.86190570647373,-118.40114902923281,Hermosa Beach,CA,United States}	{Nightlife Spot,Food,}
837	Mon Jan 10 07:40:03 +0000 2011	4b9d2ff6f964a520889736e3	{Norm's Restaurant}	{34.03831526,-118.43271374702454,Los Angeles,CA,United States}	{Food,}
837	Mon Jan 10 05:14:03 +0000 2011	4a17500df964a5204a791fe3	{AMF Mar Vista}	{34.00542742587541,-118.43088448047638,Los Angeles,CA,United States}	{Arts & Entertainment,}
837	Sun Jan 09 07:32:43 +0000 2011	4ab6d5a1f964a5203c7920e3	{RA Sushi Bar Restaurant}	{33.833193468259665,-118.34749320751797,Torrance,CA,United States}	{Food,}
837	Sun Jan 09 05:26:20 +0000 2011	4b018a4bf964a520404322e3	{De Neve - UCLA}	{34.07074658552261,-118.45002517469493,Los Angeles,CA,United States}	{College & University,}
837	Fri Jan 07 05:34:55 +0000 2011	45a9d2e3f964a52024411fe3	{Sharks Cove}	{33.862589,-118.39998,Hermosa Beach,CA,United States}	{Nightlife Spot,}
837	Fri Jan 07 03:16:00 +0000 2011	4b8047dff964a520c56330e3	{Watermans - A Safe House For Surfers}	{33.86190570647373,-118.40114902923281,Hermosa Beach,CA,United States}	{Nightlife Spot,Food,}
837	Thu Jan 06 13:50:09 +0000 2011	4a806b90f964a5202ff51fe3	{Best Buy}	{34.06298944492975,-118.44352857635525,Los Angeles,CA,United States}	{Shop & Service,}
