23	Sun Aug 07 00:55:56 +0000 2011	43052100f964a52020271fe3	{Del Mar Racetrack}	{32.97345991420324,-117.26214408874512,Del Mar,CA,United States}	{Food,Arts & Entertainment,}
23	Fri Jul 22 14:51:56 +0000 2011	4b64904af964a52008be2ae3	{Starbucks}	{32.83107640191929,-117.13072121143341,San Diego,CA,United States}	{Food,}
23	Thu Jul 07 19:45:49 +0000 2011	4b30264ff964a520ebf624e3	{Chile Peppers}	{32.82290295616849,-117.10321600491066,San Diego,CA,United States}	{Food,}
23	Wed Jul 06 20:09:32 +0000 2011	4b04d93af964a520c75622e3	{Stars and Lace Gentlemens Club}	{32.74995906,-117.11579,San Diego,CA,United States}	{Nightlife Spot,}
23	Wed Jul 06 16:21:19 +0000 2011	4df14d05b0fb807158b8d900	{The Cave}	{32.82411348,-117.12025434,San Diego,CA,United States}	{Office,Professional & Other Places,}
23	Mon Jul 04 15:50:05 +0000 2011	4527ae87f964a520053b1fe3	{Cheese Shop}	{32.711956144815694,-117.16082096099854,San Diego,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
23	Mon Jun 27 16:27:56 +0000 2011	4b64904af964a52008be2ae3	{Starbucks}	{32.83107640191929,-117.13072121143341,San Diego,CA,United States}	{Food,}
23	Fri Jun 24 16:07:49 +0000 2011	4df14d05b0fb807158b8d900	{The Cave}	{32.82411348,-117.12025434,San Diego,CA,United States}	{Office,Professional & Other Places,}
23	Thu Jun 23 23:23:51 +0000 2011	4d757a8805e3224b17fae078	{AngryTurdz}	{32.8242395,-117.12043577,San Diego,CA,United States}	{Professional & Other Places,}
23	Thu Jun 23 23:20:09 +0000 2011	4a8c4ddaf964a5209d0d20e3	{Quiznos}	{32.83084934,-117.13146376666667,San Diego,CA,United States}	{Food,}
23	Sun Jun 19 04:15:36 +0000 2011	40e0b100f964a52071021fe3	{McGregor's Grill & Ale House}	{32.784496449271195,-117.11108207702637,San Diego,CA,United States}	{Nightlife Spot,Food,}
