1036	Fri Aug 12 04:11:33 +0000 2011	44b2a549f964a52041351fe3	{Maverick}	{37.76342,-122.420021,San Francisco,CA,United States}	{Food,}
1036	Sun Aug 07 19:40:50 +0000 2011	44646408f964a52026331fe3	{Nopa}	{37.77494821103535,-122.43765838868448,San Francisco,CA,United States}	{Nightlife Spot,Food,}
1036	Sun Aug 07 00:38:57 +0000 2011	43598100f964a520f7281fe3	{Madrone Art Bar}	{37.774206626891306,-122.43744224309921,San Francisco,CA,United States}	{Nightlife Spot,Arts & Entertainment,}
1036	Sat Aug 06 23:46:36 +0000 2011	4aa08ca7f964a520064020e3	{Jenny's Burger}	{37.76531,-122.466385,San Francisco,CA,United States}	{Food,}
1036	Sat Aug 06 01:06:25 +0000 2011	4dcadbd6814d4ffbdab77b51	{Churchill}	{37.7678448526381,-122.42902075793148,San Francisco,CA,United States}	{Nightlife Spot,}
1036	Wed Aug 03 01:08:56 +0000 2011	441dca2bf964a52075311fe3	{Fireside Bar}	{37.764047,-122.46437,San Francisco,CA,United States}	{Nightlife Spot,}
1036	Mon Aug 01 23:54:53 +0000 2011	43eb859cf964a5203a2f1fe3	{The Page}	{37.772262468940454,-122.43739128112793,San Francisco,CA,United States}	{Nightlife Spot,}
1036	Mon Aug 01 21:52:40 +0000 2011	49daa91af964a5209f5e1fe3	{San Francisco Botanical Garden}	{37.767763359972506,-122.4692130088806,San Francisco,CA,United States}	{Outdoors & Recreation,}
1036	Thu Jul 28 00:55:29 +0000 2011	441dca2bf964a52075311fe3	{Fireside Bar}	{37.764047,-122.46437,San Francisco,CA,United States}	{Nightlife Spot,}
1036	Tue Jul 26 03:16:46 +0000 2011	440035f0f964a52012301fe3	{Cafe Rain Tree}	{37.764276,-122.465185,San Francisco,CA,United States}	{Food,}
1036	Tue Jul 26 01:03:52 +0000 2011	441dca2bf964a52075311fe3	{Fireside Bar}	{37.764047,-122.46437,San Francisco,CA,United States}	{Nightlife Spot,}
1036	Mon Jul 25 01:50:27 +0000 2011	441dca2bf964a52075311fe3	{Fireside Bar}	{37.764047,-122.46437,San Francisco,CA,United States}	{Nightlife Spot,}
1036	Sun Jul 24 19:17:54 +0000 2011	4a47af48f964a520f3a91fe3	{Inner Sunset Farmers' Market}	{37.76364977223104,-122.46597730146026,San Francisco,CA,United States}	{Shop & Service,Food & Drink Shop,}
1036	Sun Jul 24 00:50:22 +0000 2011	4a16126cf964a520ef781fe3	{Lucky}	{37.77596168300619,-122.44596355705447,San Francisco,CA,United States}	{Shop & Service,Food & Drink Shop,}
1036	Sat Jul 23 04:13:42 +0000 2011	43eb859cf964a5203a2f1fe3	{The Page}	{37.772262468940454,-122.43739128112793,San Francisco,CA,United States}	{Nightlife Spot,}
1036	Sat Jul 23 01:29:36 +0000 2011	3fd66200f964a5203df11ee3	{Lucky 13}	{37.767118790370326,-122.42983818054199,San Francisco,CA,United States}	{Nightlife Spot,}
1036	Thu Jul 21 04:58:18 +0000 2011	3fd66200f964a52056ed1ee3	{Molotov's}	{37.77200941074344,-122.43173046259795,San Francisco,CA,United States}	{Nightlife Spot,}
1036	Thu Jul 21 03:01:09 +0000 2011	3fd66200f964a5205ded1ee3	{Toronado}	{37.77192748345444,-122.4310290813446,San Francisco,CA,United States}	{Nightlife Spot,}
1036	Wed Jul 20 03:28:54 +0000 2011	4422e453f964a52095311fe3	{EOS Restaurant & Wine Bar}	{37.765809,-122.450068,San Francisco,CA,United States}	{Nightlife Spot,Food,}
